Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02453055


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2453055;1;01/01/1962;1;101,599998474121;317,700012207031;23;10;1;1;0;2431,80004882813;1;0;0;13;0;0;0;0;37,5999984741211;0;0;6,40000009536743;0;2,29999995231628;9;39;0;0;0;0;0;0;0;101,599998474121;77,5;29,3999996185303;1,89999997615814;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/02/1962;1;85,9000015258789;375,299987792969;22;9;1;1;0;2431,80004882813;1;0;1,39999997615814;28,7999992370605;70,5;0;0;1,29999995231628;0;0;0;0;0;0;0;0;0;0;82,1999969482422;7;0;0;85,9000015258789;71;27,2000007629395;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
2453055;1;01/03/1962;1;90,3000030517578;336;1;13;1;1;0;2431,80004882813;1;90,3000030517578;43,4000015258789;0,699999988079071;13;17,7000007629395;9,39999961853027;0;0;0;6,30000019073486;40,7000007629395;0;0;0;6,30000019073486;18,2999992370605;49,5999984741211;0;0;2,29999995231628;0;0;0;0;0;0;0;0;0;38;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/04/1962;1;29,7999992370605;87,6999969482422;29;8;1;1;0;2431,80004882813;1;0;0;0;0;0;0;0;0;16,2999992370605;0;0;0;0;0;0;5,40000009536743;0;0;0;3,90000009536743;3,79999995231628;0;0;0;21,8999996185303;5,90000009536743;0;0,699999988079071;29,7999992370605;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/05/1962;1;54,7999992370605;162,399993896484;18;6;1;1;0;2431,80004882813;1;16,8999996185303;15,3999996185303;29,2999992370605;0;0;0;0;0;0;0;0;0;0;0;0;0;8;54,7999992370605;0;0;0;0;0;0;0;0;0;38;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/06/1962;1;23,2999992370605;47,0999984741211;3;4;1;1;0;2431,80004882813;1;0;0;23,2999992370605;0;0;0;0;16,8999996185303;0;0;0;0;0;0;0;0;0;0;0;0;3,59999990463257;3,29999995231628;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/07/1962;1;26;119,400001525879;10;11;1;1;0;2431,80004882813;1;0;0;0;0;0,300000011920929;0;0,400000005960464;0;8,19999980926514;26;3,70000004768372;0;0;0;0;9,89999961853027;7,30000019073486;3,59999990463257;21,6000003814697;0;0;0;21,7000007629395;0;0;0;0;0;0;16,7000007629395;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/08/1962;1;34,7000007629395;90,5;16;7;1;1;0;2431,80004882813;1;0;0;21,2999992370605;0;0;0;0;0;0;7,19999980926514;15,1999998092651;0;0;0;0;34,7000007629395;0;0;0;0;0;1,20000004768372;0,899999976158142;0;0;0;0;0;0;10;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/09/1962;1;72,3000030517578;343,299987792969;5;12;1;1;0;2431,80004882813;1;0;0;0;0;72,3000030517578;22,3999996185303;0;15,3000001907349;64,6999969482422;46,5;3,09999990463257;9;0;0;0;0;0;0;42,7999992370605;47;19;0;0;0;0;0;0;0,899999976158142;0,300000011920929;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/10/1962;1;88,4000015258789;310,399993896484;2;13;1;1;0;2431,80004882813;1;0;88,4000015258789;0;74,0999984741211;1,29999995231628;0;0;15,6000003814697;3,90000009536743;5,30000019073486;22;0;0;0;0;0;24,3999996185303;45,2000007629395;2,90000009536743;6,5;0;0;0;0;0;0;0;1,39999997615814;0;0;19,3999996185303;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/11/1962;1;46;148,699996948242;18;9;1;1;0;2431,80004882813;1;6,40000009536743;0;0;0;0;12,6999998092651;2,40000009536743;0;13,1000003814697;0;0;0;0;0;0;0;0;46;4,09999990463257;36,7999992370605;10,8000001907349;0;0;0;0;0;0;0;0;16,3999996185303;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/12/1962;1;43,7000007629395;93,3000030517578;26;8;1;1;0;2431,80004882813;1;1,20000004768372;0;4,80000019073486;10,3000001907349;16,1000003814697;4,19999980926514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,300000011920929;0;0;0;0;43,7000007629395;0;0;0;0;12,6999998092651;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/01/1996;1;35,5999984741211;161,800003051758;18;16;1;1;0;1980,19995117187;1;0;6;1;0;1,29999995231628;3,79999995231628;0;0;0;0;0;0;12;0;0,100000001490116;0;20,7999992370605;35,5999984741211;0,200000002980232;0;9,5;29,5;7,5;4,90000009536743;0;0;1,70000004768372;7;0;20,8999996185303;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/02/1996;1;47,2000007629395;259,299987792969;11;16;1;1;0;1980,19995117187;1;2,79999995231628;0;27,8999996185303;0;0;18,1000003814697;0;16;15,5;15,6999998092651;47,2000007629395;22,7999992370605;0;0;0;24,2000007629395;42;0,600000023841858;0;0,600000023841858;0;1,5;7,80000019073486;0;15,8999996185303;0;0;0,699999988079071;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
2453055;1;01/03/1996;1;84,6999969482422;364,200012207031;19;19;1;1;0;1980,19995117187;1;0;0;20;23,2999992370605;0;0;1;18,7999992370605;34,5;5,5;0;0;0;13,3000001907349;34,2999992370605;0,200000002980232;7,5;0;84,6999969482422;0;0;26,7000007629395;3;1,60000002384186;0;0;28,7000007629395;46,5;3,59999990463257;4,59999990463257;6,40000009536743;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/04/1996;1;27,5;91,0999984741211;17;9;1;1;0;1980,19995117187;1;3,09999990463257;0;0;0;0;0;0;8,69999980926514;0;9,10000038146973;0,600000023841858;0;0;0;0;0;27,5;0;0;0;0;0;0;0;0;12,1999998092651;0;8,60000038146973;15,3999996185303;5,90000009536743;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/05/1996;1;28;59,7000007629395;26;6;1;1;0;1980,19995117187;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,899999976158142;0;0,100000001490116;0;0;7,69999980926514;0;17,7999992370605;28;0;0;0;0;5,19999980926514;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/06/1996;1;31,7999992370605;46,5999984741211;27;4;1;1;0;1980,19995117187;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,90000009536743;0;5,80000019073486;0;0;0;0;0;0;0;31,7999992370605;2,09999990463257;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/07/1996;1;17,7000007629395;30,7999992370605;9;4;1;1;0;1980,19995117187;1;0;0;0;0;0;0;0;9,5;17,7000007629395;3,20000004768372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,400000005960464;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/08/1996;1;18,7999992370605;36;10;4;1;1;0;1980,19995117187;1;0;0;0;0;0;0;0;4,30000019073486;0;18,7999992370605;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,899999976158142;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/09/1996;1;31,5;84,5999984741211;9;8;1;1;0;1980,19995117187;1;8,69999980926514;0;3,29999995231628;0;0;0;0;0;31,5;0;0;0;0;0;0;0;6,69999980926514;0;0;0;0;0;0;0;23,7000007629395;4,69999980926514;5,40000009536743;0;0,600000023841858;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/10/1996;1;88,8000030517578;457,899993896484;13;16;1;1;0;1980,19995117187;1;18,6000003814697;37,5;50,0999984741211;0;21,5;1,60000002384186;0;0;0;0;39,4000015258789;52,7000007629395;88,8000030517578;6,59999990463257;0;0;0;0;5,40000009536743;52;0,300000011920929;0;30;0;41;11,8999996185303;0,5;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/11/1996;1;40,0999984741211;103,199996948242;14;10;1;1;0;1980,19995117187;1;0;0;3,70000004768372;0;0;0;0;0,5;0;0,800000011920929;0;5,90000009536743;24,7000007629395;40,0999984741211;3,09999990463257;19,6000003814697;0;0;1,89999997615814;0;0;0;2,90000009536743;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2453055;1;01/12/1996;1;45,4000015258789;285;17;18;1;1;0;1980,19995117187;1;0;0;34,2000007629395;0;0,400000005960464;30,6000003814697;0,899999976158142;0;0;29,6000003814697;25,7000007629395;23,7999992370605;9;0;0;22;45,4000015258789;0;0,100000001490116;28,6000003814697;0,100000001490116;13;14,3000001907349;0;0;0;0,300000011920929;0;1,79999995231628;0;5,19999980926514;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2453055;1;01/01/1997;1;97,1999969482422;250,600006103516;16;13;1;1;0;;0;0;0;0;1;0;6,40000009536743;0;0;9,60000038146973;0;0;0;0;0;7;97,1999969482422;13,6999998092651;0;7,59999990463257;50,2999992370605;5,40000009536743;32,2000007629395;1,70000004768372;0;0;0;0;0;0;10,8999996185303;7,59999990463257;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
