//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//	Código da Estação:64370000
//
//------------------------------------------------------------------------------
//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;metodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
64370000;1;1989-01-01;;1;1;867,2;93,9;308,79;13;4;1;1;1;;0;167,4;144,4;135,6;93,9;139,6;393,7;564,2;684,6;552,2;314;468,1;710,6;867,2;737,9;583,4;563;438,8;320;199,95;159,5;141,2;119,5;110,4;106,9;147,5;161;139,6;110,4;100,65;99,3;97,95;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64370000;1;1989-02-01;;1;1;339;64,39;151,46;19;11;1;1;1;;0;99,3;102,7;99,3;167,4;203,35;135,6;91,88;78,26;72,72;66,78;64,39;78,26;92,55;102,7;192,3;265,05;226,3;314;339;256,5;183,8;138,8;116;129,3;138;163,4;143,6;179,55;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64370000;1;1989-03-01;;1;1;495,7;51,43;115,98;21;18;1;1;1;;0;165,8;124,4;110,4;127,2;106,2;87,22;76,98;67,96;62,67;59,28;64,99;54,19;52,5;69,75;82,74;65,58;58,72;51,43;113,2;370,25;495,7;285;157,25;114,6;95,93;78,26;90,53;77,62;75,11;66,18;87,86;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64370000;1;1989-04-01;;1;1;94,57;31,32;45,77;2;26;1;1;1;;0;70,35;94,57;76,98;66,78;65,58;58,15;51,43;48,76;47,15;47,69;46,08;45,01;43,4;42,87;40,84;38,92;37,48;36,52;36,04;36,52;36,04;34,6;32,68;32,2;31,76;31,32;31,32;32,2;37;42,87;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64370000;1;1989-05-01;;1;1;82,1;25,16;38,18;6;30;1;1;1;;0;55,89;55,89;66,18;72,72;62,1;82,1;60,97;48,22;40,84;36,52;34,12;33,16;32,2;31,32;30,88;30,44;29,56;29,12;28,68;27,8;27,8;26,92;26,92;26,92;26,92;27,36;27,8;27,8;26,04;25,16;25,16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64370000;1;1989-06-01;;1;1;99,3;23,4;36,25;13;6;1;1;1;;0;25,16;25,16;24,28;24,28;23,84;23,4;23,4;28,68;34,12;36,04;37,48;69,15;99,3;75,11;45,01;36,04;32,68;32,2;32,2;30,88;29,12;27,8;26,92;27,36;31,32;36,04;37,48;37;35,56;40,36;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64370000;1;1989-07-01;;1;1;685,9;20,24;73,58;31;23;1;1;1;;0;37;33,16;30,44;29,56;28,68;27,36;26,48;25,16;24,28;23,4;23,4;23,4;23;22,61;22,61;22,22;21,82;21,82;21,82;21,03;20,64;20,64;20,24;20,24;20,24;22,61;49,29;103,4;358,7;449,8;685,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64370000;1;1989-08-01;;1;1;348,2;32,68;75,45;1;20;1;1;1;;0;348,2;173;109,7;84,66;70,94;64,39;58,72;54,76;49,83;48,22;45,01;43,4;40,36;38,92;37,48;36,04;35,08;34,6;33,64;32,68;35,08;43,4;78,26;72,72;58,72;139,6;142,8;122,3;87,22;64,39;54,76;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64370000;1;1989-09-01;;1;1;541,4;55,33;158,35;14;6;1;1;1;;0;78,26;110,4;83,38;66,78;57,58;55,33;94,57;127,2;101,32;220;531,8;486,5;286,9;541,4;473,85;246,1;161;122,3;103,4;90,53;82,1;74,51;70,35;66,18;64,99;92,55;82,1;64,39;58,15;56,46;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64370000;1;1989-10-01;;1;1;148,25;30;50,46;28;25;1;1;1;;0;54,19;50,9;48,76;48,22;47,15;46,62;44,47;41,32;39,88;38,92;38,92;50,9;86,58;80,82;54,19;46,08;42,33;39,88;37,48;35,56;34,12;33,16;32,2;30,44;30;31,76;103,4;148,25;63,8;45,54;38,44;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64370000;1;1989-11-01;;1;1;298,3;27,8;70,69;22;9;1;1;1;;0;35,08;32,68;31,32;31,32;34,12;34,12;31,76;28,68;27,8;27,8;27,8;45,54;288,8;127,9;68,56;45,54;37,96;33,64;32,2;30,88;149,75;298,3;132,4;80,18;125,8;74,51;55,89;60,41;48,22;41,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64370000;1;1989-12-01;;1;1;996,1;26,04;116,39;31;9;1;1;1;;0;37,96;35,56;33,16;31,32;30,44;28,68;27,8;26,48;26,04;29,12;29,56;32,2;54,76;37,96;75,7;37,96;32,68;30,44;47,15;140,4;105,5;64,39;44,47;37,96;34,12;31,32;33,16;202,5;414,6;818,55;996,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64370000;1;1990-01-01;;1;1;1656,5;124,4;609,51;11;31;1;1;1;;0;971,45;961,3;920,7;885,4;461,2;334;431,1;436,6;771,3;1315,6;1656,5;1547,2;1231,15;1118;1028;780,75;530,6;443,2;430;445,4;380,75;260,3;245,2;224,5;194;173,8;156,5;150,5;150,5;134,8;124,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64370000;1;1990-02-01;;1;1;117,4;54,76;80,32;1;22;1;1;1;;0;117,4;112,5;105,5;100,65;97,28;91,2;86,58;104,1;93,9;82,74;80,18;77,62;78,26;79,54;80,82;76,34;69,75;64,99;61,54;58,72;55,89;54,76;57,58;89,85;68,56;66,78;73,32;62,67;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64370000;1;1990-03-01;;1;1;70,94;40,84;50,56;16;31;1;1;1;;0;59,28;55,89;55,89;53,63;49,83;46,62;46,08;47,69;46,62;49,29;54,76;54,76;53,06;48,22;47,15;70,94;55,33;46,62;44,47;44,47;42,87;64,39;60,97;58,72;50,9;43,94;43,4;41,32;43,4;46,08;40,84;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
