//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//	Código da Estação:64360000
//
//------------------------------------------------------------------------------
//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;metodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
64360000;1;1989-01-01;;1;1;309,8;33,26;101,76;13;4;1;1;1;;0;50,15;59,7;42,31;33,26;38,92;38,92;152;170;142,1;146,6;123,8;246;309,8;186;145,7;194,1;148,4;90,64;72,07;61,74;56,3;56,3;55,07;59,02;109,35;74,25;59,02;57,66;51,38;59,7;64,46;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64360000;1;1989-02-01;;1;1;186;39,48;87,03;18;10;1;1;1;;0;70,62;85,18;144,8;117,85;75,7;57,66;52,61;45,23;42,31;39,48;40,61;50,15;71,35;72,8;149,3;105,95;159;186;121,25;92,2;74,97;65,14;78,6;89,86;65,14;97,66;112,75;72,8;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64360000;1;1989-03-01;;1;1;80,05;31,72;46,82;20;18;1;1;1;;0;64,46;62,42;57,66;59,02;53,84;47,69;42,31;40,61;42,87;40,61;34,4;33,83;42,87;50,15;43,44;37,78;33,83;31,72;51,38;80,05;65,14;55,69;53,22;47,69;40,61;45,23;41,17;44,62;38,35;33,83;34,96;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64360000;1;1989-04-01;;1;1;49,53;19,5;27,07;1;24;1;1;1;;0;49,53;41,17;40,61;38,92;33,26;31,23;24,86;28,78;27,8;26,82;26,82;26,82;26,33;24,37;23,39;22,9;22,9;22,9;22,9;22,48;21,62;21,2;20,35;19,5;19,5;19,5;19,5;23,88;28,29;33,83;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64360000;1;1989-05-01;;1;1;44;16,1;21,62;2;29;1;1;1;;0;34,96;44;33,83;28,78;32,21;33,83;26,82;22,9;21,2;20,77;19,92;19,5;19,5;18,65;18,65;18,65;18,23;17,8;17,8;17,38;16,95;16,95;16,95;16,95;17,38;17,8;16,95;16,52;16,1;16,1;16,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64360000;1;1989-06-01;;1;1;54,46;15,25;23,3;12;6;1;1;1;;0;16,1;16,1;16,1;16,1;15,68;15,25;15,25;21,62;24,86;20,35;44;54,46;40,61;26,33;22,05;23,39;22,48;21,62;20,77;19,92;19,5;18,65;17,8;17,8;25,84;29,76;22,9;23,39;25,35;24,86;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64360000;1;1989-07-01;;1;1;154;14,4;32,99;31;24;1;1;1;;0;21,2;20,35;19,92;19,5;19,5;19,08;18,65;18,23;17,8;17,8;17,8;16,95;16,95;16,95;16,95;16,95;16,95;16,1;15,25;15,25;15,25;15,25;14,82;14,4;14,82;19,5;93,76;110,2;83,68;128,9;154;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64360000;1;1989-08-01;;1;1;80,05;22,05;33,6;1;19;1;1;1;;0;80,05;56,3;45,85;38,35;38,35;34,96;33,26;31,23;31,23;30,74;29,76;29,27;28,78;27,8;24,37;23,39;22,9;22,48;22,05;22,05;23,88;33,83;36,09;34,4;42,87;44,62;39,48;32,7;27,8;26,82;25,84;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64360000;1;1989-09-01;;1;1;158;25,84;52,43;14;5;1;1;1;;0;35,53;37,78;30,74;27,31;25,84;26,33;28,78;32,7;39,48;93,76;131,45;78,6;104,25;158;98,44;68,54;53,84;48,31;44;39,48;37,22;35,53;34,4;33,83;53,22;44,62;34,4;32,7;32,21;31,72;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64360000;1;1989-10-01;;1;1;61,74;18,23;26,16;12;22;1;1;1;;0;28,29;27,8;26,82;26,82;26,33;24,37;23,88;23,39;22,9;22,9;26,82;61,74;45,85;31,23;27,8;26,33;24,37;23,39;22,48;21,62;20,77;18,23;19,92;19,5;19,5;20,35;37,78;27,31;22,9;19,92;19,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
