//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//	Código da Estação:64465000
//
//------------------------------------------------------------------------------
//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;metodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
64465000;1;2006-01-01;;1;1;143;66,06;95,52;30;17;1;1;1;;0;77,34;81,1;79,22;81,1;92,44;86,77;80,16;73,58;73,58;88,66;96,22;88,66;92,44;84,88;95,28;80,16;66,06;82,04;74,52;94,33;99,06;103;110;110;108;118;116;126,65;134,25;143;124,75;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64465000;1;2006-02-01;;1;1;115;74,52;93,78;21;7;1;1;1;;0;111;102;92,44;82,99;77,34;75,46;74,52;79,22;82,04;113;106;100;98,11;92,44;85,82;82,04;85,82;86,77;96,22;110;115;111;108;105;99,06;92,44;83,93;78,28;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
64465000;1;2006-03-01;;1;1;79,22;53,25;69,24;7;19;1;1;1;;0;75,46;73,58;78,28;77,34;77,34;75,46;79,22;76,4;75,46;72,64;67;64,18;61,4;58,68;58,68;58,68;55,97;55,06;53,25;55,06;66,06;74,52;79,22;72,64;70,76;70,76;73,58;73,58;73,58;72,64;69,82;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64465000;1;2006-04-01;;1;1;66,06;35,4;48,36;1;28;1;1;1;;0;66,06;62,3;58,68;57,78;55,06;52,35;51,44;51,44;49,63;51,44;54,15;55,06;55,06;55,06;52,35;51,44;47,82;46,01;46,01;44,2;42,44;42,44;42,44;40,68;38,92;37,16;37,16;35,4;35,4;35,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
64465000;1;2006-05-01;;1;1;35,4;28,36;31,28;1;20;1;1;1;;0;35,4;33,64;33,64;31,88;31,88;31,88;31,88;31,88;31,88;31,88;31,88;30,12;30,12;30,12;30,12;30,12;30,12;30,12;30,12;28,36;28,36;29,24;31,88;31,88;31,88;31,88;31,88;31,88;31,88;31,88;30,12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64465000;1;2006-06-01;;1;1;37,16;23,36;27,47;30;24;1;1;1;;0;30,12;30,12;28,36;28,36;28,36;28,36;28,36;28,36;28,36;26,6;24,98;24,98;24,98;24,98;24,98;24,98;24,98;24,98;24,98;24,98;24,98;24,98;24,98;23,36;23,36;28,36;33,64;33,64;34,52;37,16;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
64465000;1;2006-07-01;;1;1;62,3;24,98;35,51;13;26;1;1;1;;0;35,4;35,4;32,76;31,88;31,88;31,88;30,12;30,12;30,12;32,76;49,63;56,87;62,3;59,58;55,06;46,92;40,68;38,92;38,04;32,76;31,88;30,12;30,12;27,48;26,6;24,98;24,98;24,98;26,6;24,98;24,98;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64465000;1;2006-08-01;;1;1;46,92;20,12;29,05;22;15;1;1;1;;0;24,98;24,98;26,6;26,6;26,6;26,6;25,79;24,98;24,98;24,98;24,98;23,36;23,36;23,36;20,12;20,12;20,12;23,36;28,36;36,28;46,01;46,92;45,1;39,8;37,16;35,4;32,76;30,12;30,12;28,36;28,36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64465000;1;2006-09-01;;1;1;266,2;28,36;118,71;21;1;1;1;1;;0;28,36;47,82;72,64;79,22;79,22;74,52;64,18;58,68;55,06;50,53;46,01;44,2;40,68;40,68;38,92;49,63;131,4;149;150;174,75;266,2;241;223;231;223;211,55;191;173,7;158;167,4;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
64465000;1;2006-10-01;;1;1;190;75,46;131,31;7;27;1;1;1;;0;159;169,5;184;180;178,95;184;190;180;172,65;162,15;153;153;141;129,5;124,75;134,25;145;130,45;121,9;121,9;113;104;99,06;93,39;84,88;77,34;75,46;79,22;77,34;76,4;75,46;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
