//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//	Código da Estação:40800001
//
//------------------------------------------------------------------------------
//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;metodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
40800001;2;1976-01-01;;1;1;79,97;34,73;53,48;5;22;1;1;1;;0;51,71;48,37;45,89;45,07;79,97;70,86;68,18;70,86;71,76;70,86;60,25;61,12;57,66;78,13;68,18;58,52;58,52;46,71;41,03;38,64;36,29;34,73;35,51;34,73;42,64;44,26;57,66;45,89;50,87;44,26;38,64;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1976-02-01;;1;1;;;;;;0;0;0;;0;42,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
40800001;2;1981-03-01;;1;1;175,48;63,97;92,7;10;5;1;1;1;;0;71,51;69,61;66,78;64,9;63,97;66,78;83,17;121,44;121,44;175,48;141,17;116,08;104,49;101,38;82,19;75,35;75,35;75,35;93,19;153,55;127,94;96,24;87,15;80,22;75,35;73,43;73,43;77,29;87,15;83,17;89,15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1981-04-01;;1;1;107,62;53,92;65,26;30;28;1;1;1;;0;106,58;81,2;73,43;71,51;70,56;67,72;65,84;63,97;63,97;63,97;63,97;62,11;61,19;61,19;59,35;59,35;58,44;58,44;60,27;59,35;56,62;54,82;54,82;54,82;54,82;54,82;54,82;53,92;78,27;107,62;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
40800001;2;1981-05-01;;1;1;91,16;48,61;55,45;1;26;1;1;1;;0;91,16;71,51;65,84;62,11;60,27;57,53;56,62;54,82;54,82;53,03;53,03;53,03;53,03;53,03;51,25;50,37;49,49;49,49;49,49;49,49;49,49;49,49;49,49;49,49;49,49;48,61;49,49;52,14;58,44;61,19;62,11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1981-06-01;;1;1;63,97;47,74;54,24;8;30;1;1;1;;0;55,72;53,03;51,25;51,25;50,37;51,25;56,62;63,97;63,04;60,27;54,82;51,25;52,14;52,14;52,14;49,49;53,92;57,53;63,97;63,97;57,53;53,92;54,82;53,92;51,25;50,37;50,37;49,49;49,49;47,74;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
40800001;2;1981-07-01;;1;1;46,01;37,56;41,19;1;23;1;1;1;;0;46,01;46,01;46,01;46,01;46,01;45,15;44,29;44,29;44,29;44,29;44,29;44,29;41,74;39,22;39,22;39,22;39,22;38,39;38,39;39,22;39,22;38,39;37,56;37,56;37,56;37,56;38,39;38,39;38,39;39,22;39,22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1981-08-01;;1;1;53,03;34,3;38,24;21;30;1;1;1;;0;37,56;37,56;37,56;37,56;37,56;37,56;37,56;36,74;36,74;35,92;35,92;35,92;35,92;35,92;36,74;37,56;37,56;41,74;44,29;46,87;53,03;44,29;39,22;37,56;36,74;36,74;36,74;35,92;35,92;34,3;34,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1981-09-01;;1;1;48,61;22,71;29,97;30;23;1;1;1;;0;31,1;35,92;35,11;32,69;32,69;32,69;31,9;32,69;30,32;30,32;30,32;29,53;27,98;27,21;27,21;26,45;24,94;26,45;29,53;28,76;28,76;27,98;22,71;24,94;24,94;24,94;24,94;24,94;42,58;48,61;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
40800001;2;1981-10-01;;1;1;95,22;34,3;53,79;22;6;1;1;1;;0;39,22;36,74;35,92;35,92;35,11;34,3;40,06;46,87;48,61;41,74;37,56;37,56;40,06;48,61;47,74;59,35;72,47;63,97;52,14;52,14;70,56;95,22;75,35;53,92;45,15;46,87;60,27;90,15;92,17;69,61;62,11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1981-11-01;;1;1;298,34;53,03;131,67;14;4;1;1;1;;0;62,11;64,9;56,62;53,03;69,61;69,61;64,9;71,51;117,15;116,08;171,97;208,95;266,46;298,34;193,24;161,55;115,01;98,29;95,22;106,58;202,88;244,39;189,66;129,03;100,34;107,62;158,11;130,12;108,67;118,22;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
40800001;2;1981-12-01;;1;1;311,49;78,27;155,57;18;6;1;1;1;;0;106,58;100,34;100,34;103,45;89,15;78,27;85,15;96,24;141,17;194,44;229,9;213,84;200,46;208,95;161,55;175,48;163,85;311,49;284,06;202,88;143,4;121,44;112,89;103,45;93,19;95,22;110,78;268,66;239,96;158,11;127,94;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1982-01-01;;1;1;512,04;106,58;212,22;5;20;1;1;1;;0;120,36;120,36;238,86;388,91;512,04;437,67;276,36;229,9;175,48;143,4;140,05;211,39;210,17;221,22;154,69;145,64;122,52;115,01;112,89;106,58;115,01;134,52;156,97;207,73;367,17;382,39;331,18;234,43;176,65;152,41;136,73;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1982-02-01;;1;1;134,52;76,32;100,82;7;24;1;1;1;;0;127,94;124,68;120,36;116,08;123,6;133,41;134,52;124,68;107,62;102,41;97,26;93,19;93,19;91,16;88,15;85,15;84,16;83,17;82,19;81,2;77,29;77,29;77,29;76,32;85,15;106,58;111,83;117,15;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
40800001;2;1982-03-01;;1;1;381,3;101,38;172,52;14;7;1;1;1;;0;161,55;142,28;171,97;130,12;116,08;106,58;101,38;113,95;181,35;169,64;165,01;153,55;177,82;381,3;270,86;236,64;188,47;156,97;146,77;224,93;194,44;177,82;145,64;173,14;228,66;198,05;151,28;136,73;142,28;161,55;141,17;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1982-04-01;;1;1;193,24;85,15;111,71;2;29;1;1;1;;0;186,09;193,24;149,02;124,68;117,15;113,95;111,83;112,89;112,89;105,53;107,62;101,38;104,49;102,41;118,22;142,28;130,12;113,95;103,45;98,29;94,2;93,19;93,19;93,19;91,16;91,16;88,15;87,15;85,15;85,15;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
40800001;2;1982-05-01;;1;1;89,15;72,47;77,83;27;19;1;1;1;;0;85,15;85,15;85,15;83,17;83,17;82,19;82,19;79,24;79,24;78,27;75,35;73,43;75,35;75,35;73,43;73,43;73,43;73,43;72,47;73,43;72,47;73,43;72,47;72,47;72,47;85,15;89,15;87,15;78,27;74,39;73,43;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1982-06-01;;1;1;72,47;58,44;63,96;1;26;1;1;1;;0;72,47;69,61;67,72;66,78;66,78;65,84;64,9;65,84;67,72;71,51;66,78;64,9;63,97;63,97;63,97;62,11;63,97;63,97;63,97;63,97;63,04;60,27;60,27;60,27;60,27;58,44;58,44;58,44;59,35;59,35;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
40800001;2;1982-07-01;;1;1;58,44;46,87;53,51;1;30;1;1;1;;0;58,44;58,44;57,53;56,62;56,62;56,62;55,72;54,82;53,03;53,03;53,03;53,03;53,03;53,03;57,53;58,44;56,62;54,82;53,92;53,92;53,92;53,92;53,03;51,25;49,49;49,49;48,61;48,61;47,74;46,87;47,74;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1982-08-01;;1;1;50,37;40,06;44,94;2;28;1;1;1;;0;47,74;50,37;49,49;48,61;47,74;47,74;47,74;47,74;46,01;46,01;45,15;45,15;45,15;46,01;46,01;46,01;46,01;46,01;46,01;45,15;45,15;42,58;42,58;41,74;41,74;40,89;40,89;40,06;40,89;40,06;40,89;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1982-09-01;;1;1;42,58;34,3;36,89;1;22;1;1;1;;0;42,58;40,06;39,22;39,22;39,22;39,22;37,56;37,56;37,56;36,74;35,92;35,11;35,11;35,11;35,11;35,11;35,11;35,92;38,39;35,92;35,11;34,3;34,3;35,11;35,11;35,92;40,89;36,74;37,56;35,92;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
40800001;2;1982-10-01;;1;1;137,83;34,3;66,38;30;1;1;1;1;;0;34,3;34,3;37,56;41,74;58,44;51,25;41,74;88,15;63,97;58,44;96,24;82,19;101,38;127,94;136,73;91,16;64,9;55,72;53,03;48,61;46,01;46,01;46,01;47,74;49,49;46,01;46,01;46,01;48,61;137,83;130,12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1982-11-01;;1;1;111,83;39,22;61,59;19;25;1;1;1;;0;84,16;64,9;55,72;50,37;46,87;45,15;50,37;47,74;49,49;101,38;81,2;88,15;64,9;54,82;53,03;52,14;81,2;89,15;111,83;82,19;68,66;60,27;63,04;53,03;39,22;43,43;40,89;40,06;39,22;45,15;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
40800001;2;1982-12-01;;1;1;287,36;44,29;126,7;26;1;1;1;1;;0;44,29;45,15;45,15;58,44;88,15;87,15;75,35;77,29;73,43;68,66;64,9;54,82;49,49;46,01;46,01;70,56;112,89;132,32;175,48;141,17;131,22;165,01;186,09;170,8;281,86;287,36;199,25;187,28;201,67;275,26;285,16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
40800001;2;1983-01-01;;1;1;518,49;151,28;287,88;20;18;1;1;1;;0;275,26;246,6;333,36;370,43;268,66;210,17;299,43;399,76;268,66;259,84;192,05;160,4;153,55;162,7;205,3;205,3;190,85;151,28;290,65;518,49;437,67;426,85;387,82;347,55;416,02;401,93;345,37;311,49;269,76;227,41;189,66;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
