//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//	Código da Estação:64380000
//
//------------------------------------------------------------------------------
//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;metodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
64380000;1;1953-05-01;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,74;3,74;6,69;40,55;35,5;19,75;15,1;10,86;13,72;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64380000;1;1953-06-01;;1;1;12,39;5;6,77;1;24;1;1;1;;0;12,39;10,68;9,66;9,03;8,67;7,5;6,96;6,78;7,41;9,21;8,58;7,14;6,6;6,36;5,96;5,8;5,64;5,48;5,8;5,64;5,48;5,32;5,16;5;5;5;5;5,16;5,32;5,48;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64380000;1;1953-07-01;;1;1;9,66;4,44;5,1;20;14;1;1;1;;0;4,72;4,72;4,72;4,58;4,58;4,58;4,58;4,58;4,93;6,6;6,78;5,72;4,65;4,44;4,44;4,44;4,44;4,44;5,32;9,66;7,5;5,64;5,08;5;4,86;4,72;4,58;4,58;4,44;4,44;4,44;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64380000;1;1953-08-01;;1;1;5,48;3,88;4,37;25;23;1;1;1;;0;4,44;4,3;4,3;4,16;4,16;4,16;4,16;4,16;4,16;4,16;4,16;4,16;4,16;4,02;4,02;4,02;4,02;4,02;4,02;4,02;4,02;4,02;3,88;5;5,48;4,44;5,32;5,16;5,4;4,72;5,32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64380000;1;1953-09-01;;1;1;11,62;3,74;6,39;25;15;1;1;1;;0;5;4,65;4,37;4,3;4,16;4,02;4,02;4,86;4,65;5,16;8,94;7,95;6,6;5,32;3,74;8,49;10,68;7,95;6,36;5,48;5,32;5,32;5,08;9,12;11,62;11,06;8,76;7,05;6,12;5,48;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64380000;1;1953-10-01;;1;1;46,35;5;10,6;7;2;1;1;1;;0;5,32;5;5;5,48;9,75;34,46;46,35;22,5;15,32;11,24;9,84;8,76;8,13;6,96;6,52;6,04;5,56;6,78;8,94;7,59;6,44;7,05;8,67;14;11,06;8,76;7,59;7,14;6,52;8,31;7,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64380000;1;1953-11-01;;1;1;13,24;4,02;6,76;2;27;1;1;1;;0;12,1;13,24;12,1;10,11;8,58;7,5;6,96;6,44;5,88;5,56;5,32;6,52;6,6;7,95;6,87;6,52;5,48;5;5;7,05;6,78;5,8;4,93;4,65;4,37;4,09;4,02;4,44;5,72;7,32;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64380000;1;1953-12-01;;1;1;36,75;3,32;8,47;1;27;1;1;1;;0;36,75;28,88;17,12;17,35;12,86;11,91;10,3;9,39;7,95;6,96;6,36;5,96;8,85;6,6;5,88;5,88;5,8;5,16;4,79;4,51;4,23;4,02;3,88;3,67;3,6;3,39;3,32;4,65;4,93;4,02;3,74;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64380000;1;1954-01-01;;1;1;16,43;3,18;6,61;4;2;1;1;1;;0;3,53;3,18;9,3;16,43;7,77;5,48;5,64;10,48;14,22;9,75;7,95;6,28;5,16;5,24;6,78;7,32;5,88;6,36;5,64;5,16;4,37;4,16;4,51;6,12;4,37;3,6;6,96;9,12;5,4;4,23;4,65;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64380000;1;1954-02-01;;1;1;13,05;2,76;5,8;8;5;1;1;1;;0;4,16;3,6;3,25;3,11;2,76;3,18;9,3;13,05;7,59;6,12;5,8;4,79;4,58;7,14;6,36;9,84;9,3;7,14;6,28;5,64;5,56;4,93;4,51;4,16;4,09;3,6;4,3;8,13;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
