Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64655000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64655000;2;01/12/2014;;1;1;1725,39;97,979;286,142;23;20;1;1;1;;0;161,824;143,001;100,569;146,065;119,539;111,229;111,229;111,229;119,539;113,969;116,739;136,959;275,341;439,438;259,193;152,282;136,959;119,539;105,839;97,979;103,189;444,345;1725,39;964,046;631,592;439,438;439,438;313,267;259,193;251,283;220,749;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64655000;2;01/11/2014;;1;1;371,888;95,42;178,765;10;19;1;1;1;;0;119,539;116,739;113,969;119,539;122,368;116,739;128,116;192;367,219;371,888;224,469;181,685;149,159;125,227;116,739;111,229;105,839;100,569;95,42;136,959;116,739;213,393;259,193;174,95;152,282;255,224;235,794;308,944;317,616;213,393;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64655000;2;01/10/2014;;1;1;2312,901;122,368;434,856;2;30;1;1;1;;0;1649,34;2312,901;1764,01;515,648;835,182;597,373;654,886;424,984;395,629;381,305;300,381;283,579;259,193;239,625;220,749;213,393;202,57;185,095;178,303;174,95;181,685;181,685;143,001;168,33;158,615;178,303;155,434;139,965;131,034;122,368;131,034;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64655000;2;01/09/2014;;1;1;2689,205;95,42;486,305;27;17;1;1;1;;0;103,189;239,625;444,345;739,432;395,629;235,794;199,018;199,018;199,018;168,33;149,159;131,034;119,539;103,189;100,569;97,979;95,42;95,42;95,42;202,57;643,191;520,925;321,991;251,283;376,584;1735,007;2689,205;1862,293;1378,381;696,574;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64655000;2;01/08/2014;;1;1;202,57;80,706;127,904;19;31;1;1;1;;0;181,685;165,063;152,282;152,282;136,959;133,982;122,368;116,739;113,969;108,519;122,368;116,739;122,368;146,065;146,065;133,982;119,539;131,034;202,57;185,095;146,065;128,116;113,969;111,229;103,189;95,42;95,42;95,42;95,42;90,393;80,706;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64655000;2;01/07/2014;;1;1;720,922;152,282;261,656;26;16;1;1;1;;0;353,371;308,944;300,381;247,37;235,794;217,057;213,393;185,095;202,57;220,749;206,15;181,685;168,33;165,063;155,434;152,282;152,282;217,057;339,763;247,37;202,57;181,685;165,063;283,579;660,77;720,922;439,438;317,616;271,263;209,758;188,533;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64655000;2;01/06/2014;;1;1;7002,859;296,14;1358,177;7;27;1;1;1;;0;464,224;454,235;424,984;395,629;339,763;1035,239;7002,859;6111,221;4573,502;3861,626;2796,385;2004,031;1902,297;1872,257;936,217;789,837;637,379;547,68;494,783;489,628;464,224;454,235;386,054;357,961;330,823;313,267;296,14;300,381;317,616;390,828;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64655000;2;01/05/2014;;1;1;1993,747;133,982;428,025;27;13;1;1;1;;0;231,991;267,212;255,224;251,283;220,749;217,057;185,095;185,095;185,095;165,063;152,282;152,282;133,982;139,965;152,282;171,626;171,626;165,063;146,065;133,982;133,982;133,982;469,255;861,61;1215,483;1725,39;1993,747;1146,348;796,244;620,089;489,628;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64655000;2;01/04/2014;;1;1;678,564;165,063;353,908;20;9;1;1;1;;0;449,278;429,698;381,305;304,649;247,37;220,749;195,495;181,685;165,063;287,739;499,962;390,828;390,828;390,828;367,219;300,381;348,809;344,272;300,381;678,564;531,554;660,77;558,553;429,698;348,809;304,649;259,193;239,625;220,749;188,533;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64655000;2;01/03/2014;;1;1;1369,738;95,42;267,494;22;15;1;1;1;;0;202,57;220,749;185,095;152,282;133,982;213,393;213,393;213,393;146,065;131,034;116,739;103,189;100,569;100,569;95,42;188,533;199,018;199,018;199,018;152,282;727,068;1369,738;672,609;564,026;362,577;279,447;235,794;195,495;192;199,018;228,216;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64655000;2;01/02/2014;;1;1;228,216;46,977;93,579;28;14;1;1;1;;0;103,189;85,488;71,515;71,515;78,362;78,362;69,295;64,95;54,643;54,643;50,745;50,745;50,745;46,977;95,42;95,42;85,488;78,362;73,766;71,515;95,42;85,488;85,488;71,515;224,469;185,095;213,393;228,216;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
