Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64675002


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64675002;2;01/12/2014;;1;1;2329,415;184,211;466,232;23;21;1;1;1;;0;328,649;281,91;248,141;287,648;281,91;270,527;248,141;237,142;226,276;248,141;248,141;259,27;281,91;421,133;427,509;377,22;305,043;226,276;204,958;194,511;184,211;220,894;2329,415;1944,331;1087,626;737,292;587,757;512,642;433,911;414,782;395,883;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/11/2014;;1;1;466,293;164,066;287,09;10;19;1;1;1;;0;226,276;226,276;226,276;215,547;210,235;204,958;210,235;310,9;408,456;466,293;364,912;293,416;248,141;226,276;204,958;194,511;184,211;174,061;164,066;194,511;237,142;293,416;402,157;322,704;270,527;402,157;453,266;453,266;433,911;389,636;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64675002;2;01/10/2014;;1;1;3811,69;220,894;720,848;2;30;2;2;2;;0;2544,664;3811,69;2647,278;1751,888;1303,845;1023,477;820,179;700,136;615,734;560,129;492,636;433,911;383,415;358,799;346,655;364,912;340,625;328,649;316,788;305,043;293,416;293,416;281,91;276,203;281,91;293,416;264,883;242,625;226,276;220,894;220,894;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/09/2014;;1;1;4764,982;153,326;781,012;27;19;2;2;2;;0;184,211;220,894;421,133;731,05;700,136;421,133;340,625;322,704;316,788;293,416;259,27;231,692;210,235;194,511;184,211;184,211;174,061;159,127;153,326;184,211;573,899;781,522;553,278;408,456;440,338;2052,363;4764,982;3531,762;2237,117;2199,702;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;;
64675002;2;01/08/2014;;1;1;358,799;174,061;251,037;1;30;1;1;1;;0;358,799;334,623;316,788;305,043;293,416;281,91;270,527;259,27;253,689;248,141;237,142;226,276;237,142;264,883;281,91;276,203;259,27;248,141;242,625;287,648;281,91;253,689;231,692;215,547;204,958;204,958;194,511;184,211;179,117;174,061;174,061;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/07/2014;;1;1;1160,561;305,043;490,501;26;17;1;1;1;;0;629,85;573,899;519,358;472,842;446,789;421,133;408,456;402,157;402,157;408,456;402,157;377,22;352,713;340,625;328,649;316,788;305,043;395,883;622,781;567,003;453,266;383,415;346,655;421,133;940,188;1160,561;846,328;636,94;505,95;427,509;389,636;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/06/2014;;1;1;14244,66;519,358;2291,277;8;28;1;1;1;;0;787,918;787,918;724,828;658,335;601,703;636,94;11536,243;14244,66;7576,539;5577,438;4150,063;3148,968;2544,664;2007,09;1751,888;1583,392;1235,213;1066,084;981,509;879,434;781,522;718,626;681,823;644,051;601,703;567,003;539,641;519,358;573,899;629,85;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64675002;2;01/05/2014;;1;1;3402,531;215,547;720,292;27;22;1;1;1;;0;472,842;560,129;580,817;519,358;453,266;408,456;377,22;352,713;328,649;310,9;281,91;270,527;270,527;276,203;328,649;364,912;352,713;328,649;293,416;259,27;237,142;215,547;532,857;1167,949;1365,983;2826,324;3402,531;2034,21;1319,28;1009,416;826,688;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/04/2014;;1;1;1327,022;305,043;666,638;23;9;1;1;1;;0;872,776;781,522;687,907;546,448;453,266;389,636;346,655;322,704;305,043;377,22;781,522;681,823;712,443;615,734;560,129;519,358;644,051;587,757;526,096;1220,146;1235,213;1250,347;1327,022;940,188;756,132;644,051;553,278;492,636;453,266;414,782;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64675002;2;01/03/2014;;1;1;2676,845;194,511;499,62;22;13;1;1;1;;0;287,648;259,27;305,043;305,043;276,203;346,655;446,789;377,22;299,214;264,883;242,625;210,235;194,511;199,716;231,692;270,527;281,91;281,91;270,527;281,91;1220,146;2676,845;1624,931;947,029;694,012;546,448;453,266;389,636;340,625;408,456;553,278;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/02/2014;;1;1;322,704;81,487;144,766;26;12;1;1;1;;0;164,066;153,326;149,361;137,691;130,101;119,009;108,276;101,325;101,325;94,541;87,927;81,487;87,927;101,325;130,101;141,543;122,667;115,391;108,276;101,325;108,276;115,391;126,365;169,044;305,043;322,704;276,203;293,416;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64675002;2;01/01/2014;;1;1;651,182;174,061;361,604;18;30;1;1;1;;0;276,203;276,203;299,214;358,799;615,734;560,129;479,416;346,655;293,416;276,203;259,27;270,527;281,91;560,129;644,051;505,95;573,899;651,182;629,85;499,281;383,415;299,214;248,141;226,276;215,547;215,547;226,276;204,958;184,211;174,061;174,061;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/12/2013;;1;1;364,912;94,541;196,069;11;29;1;1;1;;0;210,235;264,883;310,9;287,648;264,883;242,625;226,276;237,142;248,141;310,9;364,912;328,649;281,91;226,276;199,716;179,117;164,066;153,326;149,361;137,691;130,101;122,667;115,391;108,276;104,78;101,325;108,276;101,325;94,541;108,276;194,511;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/11/2013;;1;1;383,415;153,326;213,312;24;29;1;1;1;;0;237,142;215,547;204,958;204,958;215,547;231,692;226,276;204,958;184,211;164,066;159,127;184,211;237,142;220,894;215,547;215,547;215,547;199,716;184,211;179,117;189,343;215,547;328,649;383,415;270,527;215,547;189,343;169,044;153,326;184,211;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64675002;2;01/10/2013;;1;1;1692,206;270,527;483,967;5;15;1;1;1;;0;383,415;492,636;658,335;1175,355;1692,206;1273,174;775,146;580,817;472,842;402,157;364,912;328,649;305,043;281,91;270,527;281,91;305,043;305,043;299,214;293,416;305,043;328,649;352,713;364,912;421,133;466,293;479,416;414,782;352,713;305,043;270,527;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/09/2013;;1;1;879,434;153,326;278,569;25;14;1;1;1;;0;215,547;215,547;204,958;194,511;194,511;204,958;194,511;184,211;184,211;174,061;169,044;164,066;159,127;153,326;153,326;159,127;194,511;215,547;226,276;237,142;226,276;204,958;226,276;519,358;879,434;700,136;615,734;492,636;371,053;322,704;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64675002;2;01/08/2013;;1;1;492,636;220,894;304,761;1;31;1;1;1;;0;492,636;453,266;427,509;408,456;364,912;352,713;328,649;334,623;352,713;340,625;328,649;316,788;310,9;305,043;299,214;293,416;293,416;287,648;281,91;270,527;259,27;253,689;248,141;242,625;237,142;231,692;226,276;231,692;226,276;226,276;220,894;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/07/2013;;1;1;1980,104;512,642;979,035;2;18;1;1;1;;0;1935,425;1980,104;1700,686;1437,145;1250,347;1094,841;967,663;892,807;846,328;839,763;749,833;694,012;658,335;622,781;594,719;567,003;539,641;512,642;526,096;573,899;636,94;1650,042;1891,12;1517,754;1257,939;1030,534;866,136;737,292;644,051;587,757;546,448;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/06/2013;;1;1;14714,397;402,157;2750,64;26;15;1;1;1;;0;724,828;859,515;2052,363;1734,759;1138,499;833,216;681,823;573,899;505,95;459,767;459,767;567,003;499,281;421,133;402,157;402,157;492,636;953,889;919,772;1700,686;2751,244;7098,754;5844,818;4150,063;10606,232;14714,397;10700,406;5202,827;2932,57;2134,781;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64675002;2;01/05/2013;;1;1;1123,877;242,625;415,675;30;13;2;2;2;;0;629,85;615,734;539,641;322,704;316,788;305,043;305,043;287,648;270,527;259,27;259,27;248,141;242,625;242,625;248,141;259,27;358,799;675,758;479,416;389,636;328,649;299,214;281,91;305,043;340,625;328,649;310,9;346,655;1044,701;1123,877;919,772;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/04/2013;;1;1;3945,879;567,003;1337,071;9;2;2;2;2;;0;573,899;567,003;629,85;601,703;737,292;846,328;1265,548;3778,387;3945,879;2457,8;1501,503;1167,949;892,807;1280,817;1250,347;1358,158;1138,499;899,52;743,553;681,823;852,912;2190,384;2632,536;1926,534;1493,402;1227,671;1002,413;933,364;846,328;687,907;;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
64675002;2;01/03/2013;;1;1;6352,396;427,509;1367,512;14;5;1;1;1;;0;833,216;636,94;532,857;466,293;427,509;486,014;669,713;731,05;718,626;636,94;807,218;1342,557;3861,828;6352,396;4167,234;2144,012;1658,444;1445,133;1227,671;1051,811;1633,285;1829,727;1550,446;1182,777;1023,477;967,663;1087,626;872,776;756,132;675,758;615,734;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/02/2013;;1;1;2472,207;153,326;1006,54;16;2;1;1;1;;0;159,127;153,326;184,211;466,293;340,625;305,043;466,293;743,553;820,179;681,823;1250,347;1700,686;1373,824;1666,861;2190,384;2472,207;1692,206;1509,62;1242,771;1534,068;1197,674;1030,534;981,509;913,003;756,132;658,335;724,828;967,663;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64675002;2;01/01/2013;;1;1;1812,323;174,061;549,756;9;31;1;1;1;;0;718,626;594,719;833,216;833,216;580,817;453,266;519,358;669,713;1812,323;1709,181;1197,674;807,218;615,734;466,293;414,782;644,051;472,842;446,789;395,883;352,713;310,9;281,91;253,689;231,692;226,276;226,276;215,547;204,958;194,511;184,211;174,061;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/12/2012;;1;1;512,642;84,686;210,51;18;2;1;1;1;;0;87,927;84,686;101,325;101,325;137,691;137,691;111,814;108,276;130,101;137,691;149,361;145,433;164,066;189,343;259,27;287,648;408,456;512,642;358,799;287,648;248,141;210,235;204,958;174,061;164,066;153,326;145,433;179,117;270,527;408,456;466,293;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64675002;2;01/11/2012;;1;1;352,713;81,487;179,668;5;26;1;1;1;;0;334,623;281,91;259,27;346,655;352,713;281,91;220,894;204,958;199,716;189,343;194,511;194,511;199,716;204,958;215,547;184,211;159,127;145,433;137,691;130,101;122,667;115,391;104,78;94,541;87,927;81,487;81,487;81,487;87,927;94,541;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
