Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64625000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64625000;2;01/08/1956;;1;1;;;;;;0;0;0;;0;;;;;;;131,392;106,758;89,18;76,902;68,501;64,421;59,632;54,2;50,424;46,738;43,855;41,732;41,033;38,271;36,915;36,915;36,915;33,593;31,649;29,116;26,653;26,653;25,449;24,262;23,094;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64625000;2;01/09/1956;;1;1;62,012;19,705;28,473;17;5;2;2;2;;0;21,945;20,815;20,257;20,257;19,705;19,705;22,517;23,094;29,743;29,743;32,94;31,009;25,449;21,945;30,374;53,438;62,012;46,738;42,436;36,915;29,116;26,653;23,094;20,815;22,517;25,449;26,049;26,653;23,094;19,705;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64625000;2;01/10/1956;;1;1;24,262;12,043;16,263;24;21;1;1;1;;0;19,157;18,614;17,544;17,017;15,978;19,705;19,705;17,017;15,467;16,495;17,017;16,495;15,978;14,46;13,476;13,476;12,992;12,992;12,992;12,992;12,043;13,476;18,076;24,262;23,094;19,157;16,495;13,476;12,515;14,46;17,544;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64625000;2;01/11/1956;;1;1;24,262;6,48;10,182;1;26;1;1;1;;0;24,262;20,815;17,544;14,46;13,476;12,043;11,576;11,116;10,663;10,663;10,215;10,215;9,773;9,773;9,338;8,91;8,488;8,072;8,072;7,664;7,664;7,262;7,262;6,867;6,867;6,48;6,48;6,48;6,48;6,48;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64625000;2;01/12/1956;;1;1;15,978;5,728;7,626;24;5;1;1;1;;0;6,48;6,48;6,1;6,1;5,728;5,728;5,728;6,1;6,1;6,867;6,48;6,48;6,48;6,48;6,48;6,867;7,262;6,867;8,072;8,072;10,215;10,663;9,773;15,978;12,992;10,215;8,072;7,664;6,1;6,1;7,664;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64625000;2;01/01/1957;;1;1;156,6;5,728;35,251;26;3;2;2;2;;0;6,867;6,1;5,728;5,728;5,728;5,728;5,728;5,728;13,965;21,378;19,157;16,495;11,576;10,663;13,965;49,68;57,284;49,68;30,374;32,94;27,263;34,249;33,593;36,915;101,097;156,6;101,097;70,156;54,2;53,438;49,68;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;
64625000;2;01/02/1957;;1;1;322,802;19,705;83,344;3;24;2;2;2;;0;41,732;96,456;322,802;276,433;256,24;175,463;123,33;95,537;69,327;73,504;160,048;101,097;68,501;52,679;58,846;55,735;43,855;35,574;30,374;26,653;24,262;21,945;20,815;19,705;19,705;21,945;20,815;20,257;;;;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64625000;2;01/03/1957;;1;1;31,009;12,515;19,379;31;19;2;2;2;;0;19,705;17,017;15,978;19,705;21,378;17,544;23,094;27,876;21,945;20,815;21,945;29,116;29,743;23,676;21,378;16,495;14,46;12,992;12,515;12,515;12,992;23,094;24,262;18,614;15,467;14,46;14,46;14,46;13,965;18,076;31,009;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64625000;2;01/04/1957;;1;1;55,735;8,072;19,4;28;21;1;1;1;;0;38,956;27,876;21,945;18,076;17,544;17,017;20,815;20,257;15,467;14,46;13,476;12,515;11,576;11,576;12,515;11,576;11,576;10,215;9,773;8,91;8,072;8,91;8,072;8,072;12,043;25,449;41,033;55,735;41,033;47,468;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64625000;2;01/05/1957;;1;1;90,982;9,773;21,381;1;27;2;2;2;;0;90,982;71,824;43,855;29,116;26,653;23,094;20,815;19,157;18,614;18,076;18,076;17,017;15,467;14,46;13,476;17,017;23,094;21,945;18,614;16,495;14,46;13,476;12,515;12,515;11,576;10,663;9,773;9,773;10,663;9,773;9,773;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
