Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64645000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64645000;2;01/08/1965;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;145,499;141,649;161,031;206,764;180,728;168,874;159,078;157,129;157,129;157,129;155,182;145,499;143,572;141,649;137,814;130,184;126,392;120,731;116,977;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/09/1965;;1;1;274,761;68,038;107,361;28;24;1;1;1;;0;113,238;109,516;105,811;102,122;96,623;92,979;89,355;87,55;85,75;85,75;103,964;113,238;92,979;92,979;89,355;87,55;91,165;89,355;85,75;78,6;75,057;71,536;69,784;68,038;68,038;85,75;202,729;274,761;208,786;202,729;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/10/1965;;1;1;2347,872;162,987;378,066;2;18;1;1;1;;0;879,734;2347,872;874,512;580,699;412,949;304,336;266,386;260,128;235,297;233,243;327,847;321,412;264,298;227,095;198,704;182,714;170,842;162,987;194,69;227,095;208,786;198,704;239,412;243,537;272,664;310,725;270,569;237,354;291,612;437,403;336,453;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/11/1965;;1;1;1177,489;133,992;291,14;15;30;1;1;1;;0;281,065;253,889;235,297;208,786;194,69;206,764;212,837;202,729;198,704;196,695;186,695;176,765;321,412;810,312;1177,489;711,826;535,187;406,312;281,065;220,969;212,837;200,715;198,704;182,714;166,908;161,031;159,078;153,239;145,499;133,992;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/12/1965;;1;1;879,734;122,614;264,058;29;2;1;1;1;;0;128,286;122,614;130,184;153,239;200,715;212,837;178,745;204,745;283,17;180,728;155,182;204,745;314,994;270,569;251,814;208,786;196,695;168,874;159,078;184,703;249,742;258,046;225,051;194,69;176,765;182,714;312,858;410,735;879,734;828,085;556,669;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/01/1966;;1;1;439,635;107,661;180,332;1;26;1;1;1;;0;439,635;364,621;297,965;266,386;276,86;272,664;255,967;239,412;214,866;188,689;178,745;164,946;153,239;145,499;135,901;130,184;126,392;122,614;126,392;133,992;137,814;149,362;133,992;128,286;115,105;107,661;120,731;122,614;116,977;115,105;107,661;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/02/1966;;1;1;840,876;89,355;339,817;14;4;1;1;1;;0;113,238;107,661;96,623;89,355;89,355;91,165;94,799;102,122;100,285;102,122;130,184;332,146;401,896;840,876;782,706;680,956;623,185;565,359;430,715;388,685;364,621;462,04;600,67;455,303;435,172;384,295;338,609;310,725;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64645000;2;01/03/1966;;1;1;260,128;89,355;144,77;1;23;1;1;1;;0;260,128;229,142;212,837;210,81;220,969;216,898;210,81;196,695;161,031;145,499;145,499;145,499;137,814;132,086;122,614;113,238;111,375;107,661;100,285;100,285;96,623;92,979;89,355;103,964;113,238;133,992;145,499;126,392;113,238;98,451;92,979;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/04/1966;;1;1;103,964;50,922;77,804;9;24;1;1;1;;0;98,451;96,623;96,623;96,623;92,979;89,355;85,75;96,623;103,964;103,964;87,55;82,165;78,6;75,057;68,038;68,038;64,563;61,113;57,689;55,987;52,603;54,291;52,603;50,922;64,563;94,799;100,285;78,6;66,297;59,398;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/05/1966;;1;1;92,979;39,949;55,779;8;31;1;1;1;;0;54,291;50,922;45,923;61,113;68,038;68,038;78,6;92,979;82,165;76,826;71,536;68,038;64,563;61,113;57,689;57,689;50,922;47,582;44,273;42,665;41,745;40,84;41,745;41,745;44,273;50,922;54,291;44,273;42,665;41,745;39,949;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/06/1966;;1;1;164,946;34,898;62,167;30;8;1;1;1;;0;39,073;39,949;38,21;37,362;36,527;36,527;35,706;34,898;34,898;34,898;34,898;35,706;37,362;40,84;44,273;54,291;68,038;82,165;91,165;103,964;92,979;82,165;68,038;59,398;75,057;103,964;105,811;80,38;71,536;164,946;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/07/1966;;1;1;253,889;44,273;81,663;1;21;1;1;1;;0;253,889;247,671;176,765;139,73;122,614;96,623;85,75;78,6;75,057;68,038;64,563;61,113;57,689;54,291;54,291;57,689;57,689;57,689;50,922;47,582;44,273;44,273;45,923;61,113;85,75;78,6;66,297;54,291;50,922;47,582;44,273;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/08/1966;;1;1;45,923;34,104;37,347;31;21;1;1;1;;0;42,665;41,745;44,273;41,745;40,84;39,949;39,073;38,21;37,362;36,527;36,527;36,527;36,527;36,527;35,706;35,706;34,898;34,898;34,898;34,898;34,104;34,898;34,104;34,898;34,898;36,527;34,898;34,898;34,898;38,21;45,923;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/09/1966;;1;1;371,164;47,582;118,212;5;26;1;1;1;;0;204,745;283,17;258,046;332,146;371,164;258,046;172,813;145,499;118,852;100,285;89,355;87,55;82,165;75,057;69,784;68,038;71,536;71,536;78,6;71,536;64,563;57,689;55,987;55,987;50,922;47,582;49,248;50,922;52,603;50,922;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/10/1966;;1;1;1331,764;47,582;324,177;9;2;1;1;1;;0;50,922;47,582;47,582;71,536;89,355;83,955;82,165;676,257;1331,764;853,749;528,811;432,943;459,793;377,722;272,664;223,009;192,687;182,714;164,946;149,362;135,901;130,184;196,695;342,926;355,922;255,967;204,745;283,17;500,458;716,625;607,389;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/11/1966;;1;1;511,834;83,955;181,585;1;26;1;1;1;;0;511,834;482,328;379,911;300,087;251,814;220,969;196,695;178,745;168,874;162,987;161,031;172,813;196,695;202,729;204,745;174,788;159,078;145,499;133,992;120,731;113,238;102,122;91,165;91,165;85,75;83,955;85,75;87,55;91,165;89,355;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/12/1966;;1;1;358,094;61,113;112,726;21;14;1;1;1;;0;82,165;89,355;103,964;105,811;103,964;92,979;87,55;82,165;73,294;71,536;68,038;64,563;62,835;61,113;61,113;73,294;85,75;120,731;218,932;334,298;358,094;200,715;161,031;126,392;109,516;100,285;87,55;85,75;82,165;71,536;68,038;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/01/1967;;1;1;147,429;68,038;95,007;27;1;1;1;1;;0;68,038;75,057;85,75;91,165;94,799;89,355;82,165;75,057;75,057;75,057;82,165;89,355;92,979;100,285;111,375;130,184;111,375;94,799;83,955;78,6;78,6;76,826;75,057;87,55;96,623;128,286;147,429;133,992;122,614;111,375;100,285;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/02/1967;;1;1;493,649;75,057;182,099;18;2;1;1;1;;0;83,955;75,057;75,057;107,661;109,516;96,623;92,979;89,355;113,238;206,764;172,813;151,299;141,649;126,392;107,661;92,979;145,499;493,649;491,382;395,283;347,251;266,386;229,142;216,898;196,695;176,765;155,182;141,649;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64645000;2;01/03/1967;;1;1;1426,138;100,285;263,212;6;27;1;1;1;;0;145,499;141,649;145,499;153,239;777,729;1426,138;892,847;669,233;406,312;295,845;249,742;212,837;196,695;229,142;245,603;182,714;161,031;149,362;135,901;128,286;120,731;115,105;111,375;103,964;103,964;102,122;100,285;115,105;116,977;107,661;116,977;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/04/1967;;1;1;128,286;39,949;62,716;1;29;1;1;1;;0;128,286;115,105;94,799;82,165;75,057;73,294;75,057;78,6;71,536;68,038;66,297;64,563;61,113;57,689;59,398;61,113;57,689;54,291;54,291;52,603;50,922;47,582;44,273;42,665;41,745;40,84;41,745;40,84;39,949;39,949;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/05/1967;;1;1;39,949;31,8;35,137;1;19;1;1;1;;0;39,949;39,949;39,949;38,21;38,21;38,21;38,21;36,527;36,527;35,706;34,898;34,898;34,104;34,104;34,104;34,104;33,323;32,555;31,8;33,323;34,104;34,898;34,104;34,104;34,104;34,898;34,898;33,323;32,555;31,8;31,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/06/1967;;1;1;509,556;30,328;134,731;7;1;1;1;1;;0;30,328;30,328;34,104;47,582;78,6;366,801;509,556;325,7;208,786;149,362;107,661;89,355;118,852;218,932;266,386;174,788;159,078;149,362;139,73;122,614;107,661;89,355;78,6;75,057;68,038;64,563;57,689;59,398;57,689;55,987;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/07/1967;;1;1;738,385;44,273;146,263;14;8;1;1;1;;0;59,398;61,113;57,689;54,291;50,922;47,582;47,582;44,273;44,273;44,273;50,922;68,038;278,961;738,385;611,885;430,715;264,298;192,687;164,946;155,182;149,362;126,392;115,105;102,122;96,623;89,355;85,75;80,38;75,057;71,536;75,057;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/08/1967;;1;1;105,811;55,987;71,589;17;11;1;1;1;;0;71,536;68,038;66,297;64,563;61,113;61,113;61,113;59,398;57,689;57,689;55,987;55,987;64,563;92,979;94,799;96,623;105,811;85,75;73,294;71,536;64,563;75,057;85,75;91,165;85,75;76,826;71,536;61,113;62,835;61,113;57,689;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/09/1967;;1;1;255,967;49,248;88,648;14;6;1;1;1;;0;55,987;54,291;52,603;50,922;50,922;49,248;57,689;78,6;82,165;103,964;98,451;141,649;214,866;255,967;206,764;126,392;109,516;92,979;89,355;78,6;73,294;73,294;69,784;68,038;57,689;57,689;54,291;52,603;50,922;50,922;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/10/1967;;1;1;164,946;39,949;67,294;23;10;1;1;1;;0;47,582;47,582;47,582;45,923;45,923;47,582;47,582;42,665;41,745;39,949;39,949;44,273;61,113;69,784;64,563;57,689;47,582;41,745;44,273;54,291;107,661;149,362;164,946;147,429;132,086;85,75;73,294;66,297;61,113;57,689;61,113;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/11/1967;;1;1;147,429;34,898;54,086;30;26;1;1;1;;0;54,291;50,922;61,113;78,6;66,297;62,835;54,291;45,923;47,582;41,745;41,745;40,84;39,949;39,949;40,84;41,745;49,248;54,291;47,582;44,273;39,949;38,21;36,527;36,527;35,706;34,898;44,273;78,6;126,392;147,429;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/12/1967;;1;1;317,131;41,745;112,895;5;29;1;1;1;;0;145,499;111,375;116,977;310,725;317,131;268,477;184,703;145,499;130,184;139,73;161,031;147,429;116,977;102,122;91,165;78,6;71,536;71,536;78,6;87,55;76,826;75,057;71,536;64,563;57,689;54,291;47,582;44,273;41,745;41,745;47,582;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/01/1968;;1;1;511,834;35,706;181,223;20;11;1;1;1;;0;50,922;57,689;68,038;61,113;61,113;55,987;49,248;42,665;39,949;38,21;35,706;36,527;36,527;39,949;62,835;73,294;130,184;347,251;430,715;511,834;444,104;435,172;397,486;417,381;426,264;321,412;276,86;220,969;172,813;145,499;130,184;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/02/1968;;1;1;130,184;41,745;71,8;1;29;1;1;1;;0;130,184;116,977;111,375;98,451;91,165;85,75;82,165;76,826;69,784;68,038;64,563;62,835;64,563;76,826;92,979;85,75;68,038;68,038;59,398;52,603;50,922;50,922;50,922;54,291;54,291;54,291;50,922;47,582;41,745;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;
64645000;2;01/03/1968;;1;1;82,165;35,706;45,897;22;5;1;1;1;;0;39,949;38,21;38,21;36,527;35,706;36,527;36,527;39,949;41,745;44,273;59,398;47,582;44,273;45,923;41,745;47,582;44,273;41,745;39,949;38,21;52,603;82,165;75,057;64,563;52,603;52,603;47,582;41,745;40,84;38,21;36,527;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64645000;2;01/04/1968;;1;1;116,977;32,555;55,287;4;17;1;1;1;;0;39,949;64,563;103,964;116,977;107,661;91,165;69,784;54,291;42,665;41,745;39,949;38,21;36,527;34,898;34,104;33,323;32,555;32,555;34,104;50,922;61,113;68,038;54,291;44,273;39,949;36,527;34,898;38,21;66,297;115,105;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64645000;2;01/05/1968;;1;1;122,614;32,555;47,537;1;29;1;1;1;;0;122,614;98,451;71,536;57,689;50,922;44,273;41,745;41,745;54,291;61,113;52,603;45,923;41,745;39,949;39,073;39,949;44,273;47,582;44,273;44,273;41,745;39,949;36,527;35,706;35,706;34,898;34,104;33,323;32,555;32,555;32,555;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
