Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64659000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64659000;2;01/12/2014;;1;1;248,501;8,851;43,558;23;20;1;1;1;;0;23,581;20,021;27,524;34,673;42,38;33,721;22,112;17,437;17,437;19,353;22,839;25,9;24,339;21,4;20,021;16,229;12,934;10,997;9,257;8,851;10,103;104,152;248,501;156,088;94,693;69,984;56,333;45,198;42,38;43,781;48,081;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64659000;2;01/11/2014;;1;1;69,984;8,075;20,713;27;19;1;1;1;;0;27,524;23,581;21,4;17,437;18,7;16,826;15,077;16,229;18,061;22,839;18,7;15,077;12,43;11,462;10,997;10,103;9,257;8,458;8,075;9,257;8,851;10,543;16,229;25,9;20,021;40,31;69,984;48,812;38,277;30,966;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64659000;2;01/10/2014;;1;1;865,212;18,7;114,854;2;30;1;1;1;;0;640,408;865,212;325,957;218,926;174,25;141,867;106,082;104,152;91;80,244;72,501;65,045;59,449;54,798;51,027;45,913;42,38;39,628;36,629;34,673;34,673;30,966;29,213;25,9;23,581;39,628;41,686;25,9;21,4;18,7;18,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64659000;2;01/09/2014;;1;1;1606,097;12,43;183,796;27;1;1;1;1;;0;12,43;14,521;32,786;71,659;55,564;42,38;34,673;38,95;51,027;40,996;34,673;29,213;23,581;20,021;17,437;16,229;14,521;12,934;12,43;16,826;183,598;120,961;75,051;57,883;178,902;1046,458;1606,097;550,445;344,997;756,634;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64659000;2;01/08/2014;;1;1;44,488;10,997;24,261;1;31;1;1;1;;0;44,488;40,996;38,277;34,673;32,786;29,213;25,9;24,339;22,839;21,4;20,021;18,7;21,4;25,111;38,277;29,213;24,339;24,339;34,673;30,966;24,339;20,703;18,061;16,229;15,077;13,979;13,45;12,934;12,43;11,94;10,997;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64659000;2;01/07/2014;;1;1;278,028;34,673;68,722;25;16;1;1;1;;0;69,984;65,045;57,883;52,524;48,081;45,198;42,38;40,31;39,628;42,38;49,546;46,632;42,38;37,632;35,642;34,673;34,673;51,027;117,929;91,919;68,323;54,798;46,632;48,081;278,028;182,42;134,414;90,086;71,659;59,449;51,027;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64659000;2;01/06/2014;;1;1;2818,853;61,029;360,475;7;28;2;2;2;;0;113,93;128,142;108,025;92,84;85,562;1117,851;2818,853;1958,169;774,365;607,459;454,001;318,738;200,374;191,92;196,735;202,813;207,724;169,642;149,464;126,075;110,964;96,559;87,361;80,244;73,348;68,323;63,428;61,029;68,323;82,003;;1;1;1;1;1;2;1;1;1;2;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64659000;2;01/05/2014;;1;1;927,764;35,642;162,13;26;14;2;2;2;;0;75,051;174,25;134,414;98,438;83,776;71,659;63,428;55,564;49,546;45,198;41,686;38,277;36,629;35,642;54,798;100,329;71,659;58,664;48,812;40,996;36,629;49,546;149,464;355,409;616,549;927,764;642,257;398,157;197,945;149,464;124,02;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;
64659000;2;01/04/2014;;1;1;462,192;41,686;145;20;9;1;1;1;;0;212,677;153,868;113,93;87,361;69,984;61,029;48,812;45,198;41,686;134,414;158,319;109,002;94,693;96,559;82,003;119,947;156,088;113,93;346,477;462,192;308,729;269,858;303,061;188,337;148,37;115,924;94,693;80,244;69,984;62,624;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64659000;2;01/03/2014;;1;1;655,252;18,7;103,702;22;2;1;1;1;;0;21,4;18,7;22,839;25,111;32,786;140,794;135,47;83,776;58,664;45,913;36,629;31,868;28,361;57,883;61,825;48,812;58,664;48,812;42,38;55,564;396,6;655,252;275,295;173,094;121,978;92,84;73,348;61,825;52,524;65,045;190,723;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
