Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64685000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64685000;2;01/01/1954;;1;1;1237,911;265,312;520,641;19;6;1;1;1;;0;297,268;290,826;287,614;271,652;271,652;265,312;265,312;265,312;306,979;379,797;525,738;558,053;540,058;448,243;532,889;812,306;981,106;1175,819;1237,911;1037,246;858,839;743,391;616,325;515,043;451,717;417,194;406,933;379,797;349,677;326,563;323,284;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/02/1954;;1;1;313,483;197,45;258,771;1;26;1;1;1;;0;313,483;290,826;297,268;290,826;271,652;262,153;252,715;252,715;259;259;268,479;284,409;271,652;281,21;274,831;271,652;281,21;290,826;274,831;262,153;246,457;230,937;218,653;206,49;203,469;197,45;209,519;221,713;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64685000;2;01/03/1954;;1;1;1159,358;209,519;389,092;10;31;1;1;1;;0;224,78;224,78;227,855;240,228;255,854;271,652;297,268;323,284;383,171;1159,358;1013,118;743,391;608,986;543,649;462,168;396,718;386,55;458,68;458,68;427,5;389,934;339,737;313,483;284,409;262,153;249,583;237,124;227,855;224,78;215,601;209,519;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/04/1954;;1;1;634,743;133,545;202,064;29;25;1;1;1;;0;203,469;209,519;227,855;206,49;194,453;191,464;185,511;185,511;179,591;170,777;167,857;167,857;167,857;164,945;170,777;167,857;162,043;162,043;156,266;153,392;150,527;144,827;136,35;139,165;133,545;133,545;147,672;218,653;634,743;627,364;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/05/1954;;1;1;3906,016;413,769;1425,989;19;4;1;1;1;;0;594,353;507,934;462,168;413,769;417,194;565,281;472,661;441,309;977,117;1995,098;1873,564;1744,573;1713,685;1999,625;1887,001;1766,696;1406,173;2072,304;3906,016;3761,02;3312,125;2827,462;1806,641;1406,173;1155,249;989,092;862,737;777,713;739,595;698,065;653,255;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/06/1954;;1;1;3192,606;558,053;1106,207;7;3;1;1;1;;0;616,325;587,061;558,053;561,665;709,349;2026,825;3192,606;2503,471;1599,829;1171,7;1025,169;973,132;1325,774;1565,08;1279,617;1045,311;1041,277;1098;1106,147;1213,006;1204,724;1065,521;953,247;847,162;770,062;709,349;660,687;623,681;590,705;561,665;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/07/1954;;1;1;1355,297;366,356;521,792;18;31;1;1;1;;0;540,058;525,738;511,486;490,241;469,159;448,243;437,85;434,395;424,059;406,933;396,718;386,55;389,934;400,118;413,769;490,241;796,898;1355,297;1045,311;785,377;642,136;558,053;507,934;476,168;455,196;430,945;413,769;400,118;393,324;383,171;366,356;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/08/1954;;1;1;356,332;221,713;264,474;1;24;1;1;1;;0;356,332;343,044;333,138;326,563;320,011;306,979;300,499;290,826;287,614;274,831;271,652;268,479;262,153;259;255,854;249,583;246,457;240,228;237,124;237,124;237,124;234,027;224,78;221,713;224,78;237,124;237,124;230,937;221,713;227,855;234,027;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64685000;2;01/09/1954;;1;1;653,255;179,591;218,489;30;21;1;1;1;;0;230,937;218,653;209,519;203,469;200,455;194,453;194,453;191,464;191,464;191,464;185,511;185,511;191,464;209,519;209,519;200,455;194,453;188,483;188,483;188,483;179,591;179,591;194,453;206,49;215,601;212,556;209,519;218,653;316,744;653,255;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64685000;2;01/10/1954;;1;1;762,425;255,854;397,534;31;16;1;1;1;;0;713,117;590,705;511,486;424,059;346,358;306,979;287,614;297,268;536,471;507,934;400,118;336,435;300,499;290,826;268,479;255,854;255,854;265,312;281,21;310,228;323,284;323,284;396,718;679,33;579,785;458,68;336,435;306,979;313,483;356,332;762,425;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
