Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64682000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
64682000;2;01/12/2014;;1;1;75,122;14,363;22,608;24;8;1;1;1;;0;14,914;15,465;21,034;17,681;15,465;14,914;14,638;14,363;15,741;16,571;16,571;16,018;15,465;15,189;14,914;14,638;14,638;14,363;15,465;16,294;17,403;19,911;41,401;75,122;64,438;57,761;29,047;25,041;20,47;17,959;17,959;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64682000;2;01/11/2014;;1;1;23,371;14,363;17,16;23;18;1;1;1;;0;15,465;15,189;15,189;18,237;21,368;20,191;19,352;18,237;18,237;16,571;16,018;15,465;15,741;15,465;15,465;15,189;14,914;14,363;14,363;17,126;18,794;21,702;23,371;20,47;16,571;16,848;17,126;17,126;15,741;14,914;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64682000;2;01/10/2014;;1;1;25,708;15,189;17,458;1;28;1;1;1;;0;25,708;24,039;22,37;20,47;19,352;19,073;18,794;18,794;18,237;17,403;16,294;16,018;16,018;15,741;16,018;15,741;15,465;15,465;19,352;17,959;17,126;16,571;16,294;15,741;15,465;15,465;15,465;15,189;15,189;15,189;15,189;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64682000;2;01/09/2014;;1;1;30,049;15,189;18,023;27;24;1;1;1;;0;16,018;16,018;16,571;16,018;15,741;15,741;17,126;17,403;16,848;16,294;16,571;16,848;17,681;17,403;16,571;16,294;16,018;15,741;15,465;15,741;16,571;16,018;15,465;15,189;17,126;21,034;30,049;30,049;26,71;24,373;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64682000;2;01/08/2014;;1;1;19,911;15,465;17,468;14;31;1;1;1;;0;18,794;18,794;18,516;18,237;18,237;17,959;17,681;17,681;17,681;17,403;17,403;17,126;19,352;19,911;19,352;18,794;18,237;17,959;17,681;17,403;16,848;16,571;16,294;16,018;16,018;16,018;16,018;16,018;16,018;16,018;15,465;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64682000;2;01/07/2014;;1;1;26,376;18,516;20,658;19;16;1;1;1;;0;22,036;20,75;19,911;19,911;19,352;19,631;19,911;19,631;19,911;20,47;19,911;19,352;19,073;18,794;18,794;18,516;18,794;25,041;26,376;26,376;24,039;20,47;18,794;25,041;21,702;21,034;20,47;19,911;18,794;18,794;18,794;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64682000;2;01/06/2014;;1;1;67,777;17,959;28,446;8;4;1;1;1;;0;23,038;20,47;18,794;17,959;43,738;49,08;60,098;67,777;48,412;36,393;30,383;29,047;26,042;25,375;26,042;26,71;25,708;25,041;23,038;21,702;21,368;21,034;21,034;20,75;20,47;20,47;20,47;20,191;21,034;21,702;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64682000;2;01/05/2014;;1;1;24,373;14,914;18,267;26;20;1;1;1;;0;20,75;20,47;19,911;17,681;16,571;16,571;16,294;16,018;15,741;15,465;15,465;15,465;15,189;16,018;16,018;15,465;15,465;15,189;15,189;14,914;14,914;17,681;20,47;21,034;22,37;24,373;24,373;24,039;23,705;22,704;20,75;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64682000;2;01/04/2014;;1;1;25,041;14,363;17,526;22;7;1;1;1;;0;17,126;16,571;15,465;15,189;14,914;14,638;14,363;14,363;14,914;15,465;17,126;18,794;17,681;16,018;16,571;17,681;17,126;16,294;17,959;21,702;22,37;25,041;24,039;22,704;19,352;17,681;16,848;16,018;16,018;15,741;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64682000;2;01/03/2014;;1;1;31,051;13,266;18,217;22;18;1;1;1;;0;16,848;17,681;18,237;17,681;16,294;15,189;15,465;16,571;16,018;15,189;14,363;16,018;15,465;14,363;14,363;13,814;13,54;13,266;14,363;22,036;30,717;31,051;30,717;24,707;23,705;21,702;18,516;16,018;15,465;17,959;17,403;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64682000;2;01/02/2014;;1;1;19,352;12,172;14,588;21;20;1;1;1;;0;13,814;13,814;13,54;13,54;13,266;13,266;12,992;12,992;12,718;12,992;13,266;13,814;14,363;14,363;13,266;12,992;12,718;12,718;12,445;12,172;19,352;17,681;19,073;19,073;17,959;17,126;16,571;16,571;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
64682000;2;01/01/2014;;1;1;22,704;14,363;16,718;16;30;1;1;1;;0;15,465;15,189;14,914;14,638;15,465;14,914;17,126;17,681;16,018;15,465;14,914;16,571;17,126;18,237;21,702;22,704;22,37;21,702;19,352;16,294;16,018;15,465;14,914;15,465;16,571;16,294;16,571;15,465;14,914;14,363;14,363;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64682000;2;01/12/2013;;1;1;20,75;13,54;15,746;3;23;1;1;1;;0;14,914;18,794;20,75;19,073;17,959;16,848;16,018;15,465;14,914;18,237;17,681;16,571;16,018;15,465;15,465;15,189;14,914;14,914;14,363;14,363;13,814;13,814;13,54;13,54;14,363;14,914;15,189;15,465;15,465;15,189;14,914;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64682000;2;01/11/2013;;1;1;19,073;14,914;16,176;24;29;1;1;1;;0;16,571;16,294;18,237;18,237;17,681;16,571;16,018;15,741;15,741;15,465;15,741;16,018;16,018;15,465;15,465;15,189;15,465;15,465;15,189;15,465;15,741;16,294;18,794;19,073;16,571;16,018;15,741;15,189;14,914;14,914;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
64682000;2;01/10/2013;;1;1;29,715;16,571;21,165;5;30;1;1;1;;0;22,37;22,37;21,034;28,379;29,715;25,708;24,373;21,702;19,631;18,237;17,681;17,681;17,403;17,403;21,034;25,708;25,041;24,039;21,034;19,352;17,403;20,47;24,373;23,705;23,038;20,47;19,073;17,403;17,126;16,571;16,571;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
64682000;2;01/09/2013;;1;1;19,911;16,018;17,941;4;29;1;1;1;;0;18,516;18,794;19,073;19,911;19,352;18,794;18,794;18,516;18,237;17,959;17,681;17,681;17,126;17,126;17,126;17,126;17,681;18,516;18,237;18,237;17,959;17,681;17,681;17,681;17,681;17,126;17,126;16,571;16,018;18,237;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
